predicate,message
univ2pairaddress != address(0) || excluded,Liquidity pair not yet created.
quantity + currenttotalsupply > maxsupply,
isclaimed(index),
currenttime < params.quotetimestamp || currenttime - params.quotetimestamp > depositquotetimebuffer,
a >= b,
block.timestamp > order.expiry,
claimeduptonow >= amount,
balanceof[from] >= value,
recipient != address(0),ERC20: transfer to the zero address
tradinglive || sender == deployeraddress,Trading is not live yet
block.timestamp > cosignature.expiration,
now < validbefore,EIP3009: authorization is expired
"!_checkverifiable(_config, _headerhash, _payloadhash)",
block.timestamp > token.lasttimestamp + token.interval,Cooldown in progress
!_isstaked(_tokenid),staked
offer.totalamount - _amounttaken < lien.amount,
isexcludedfromfee[from] || isexcludedfromfee[to],Trading is not active yet.
usermints[_msgsender()].rank == 0,CRank: Mint already in progress
"!_validateorderandlisting(order, ordertype.bid, exchange, signature, fees)",
spender == iethervistafactory(factory).router(),EtherVista: FORBIDDEN
currentowner > lastowner && owners[currentowner] != address(0) && currentowner != sentinel_owners,GS026
amount <= totalsupply().mul(purcahselimit).div(1e4),Amount exceeds max purchase amount.
sellcount < 3,Only 3 sells per block!
block.timestamp < expiration,MAYAChain_Router: expired
phase.mintedamount + tokenstomint <= phase.totalamount,Amount exceeds phase limit
tokensupply.totalminted + amount > tokensupply.maxsupply,
clusterdata != hashedclusterdata,
!istradingenabled,
senderbalance >= amount_,ERC20: transfer amount exceeds balance
tradingopened,Trading not opened
proxies[msg.sender] == address(0),
uint256(digest) > miningtarget,
stealth,Not stealth!
receiveamount >= minreturnamount,DODORouteProxy: Return amount is not enough
bexcludedfromtax[from] || bexcludedfromtax[to],Trading is not active.
"!checkinvariant(qx, qy, offchainx, offchainy, maximumx, minimumy)",
success,Invalid request
balance0before.add(uint256(amount0)) <= balance0(),IIA
provenwithdrawal.timestamp == 0 || l2oracle.getl2output(provenwithdrawal.l2outputindex).outputroot != provenwithdrawal.outputroot,OptimismPortal: withdrawal hash has already been proven
tradingenable,Trading not enable
!checkpredicate(order),
totalsupply >= phase1_supply,
pretrader[from],TOKEN: This account cannot send tokens until trading is enabled
totalaftermint > i.limit,
sellcooldown[from] < block.timestamp,
userstakeinfo.erc20balance < total,
amount > maxamount,
proposal._status == proposalstatus.passed,proposal already transferred
balance < amount,
"0 == value || 0 == allowance(msg.sender, spender)",Value or allowance non-zero [RevenueToken.sol:117]
currentprice > maxprice,
stakeindex < stakelistref.length,STAKING: stakeIndex invalid
_sharesamount <= currentsendershares,BALANCE_EXCEEDED
report.merkleroot == bytes32(0),
!(tradingopen || botguard[from]),TOKEN: This account cannot send tokens until trading is enabled
phase.maxperwallet > 0 && updatedamountminted > phase.maxperwallet,
(cursupply + quantity) > config.maxsupply,
claimamount == 0,
processedl2requests[requesthash] == closed,
basereserve <= uint112(-1) && quotereserve <= uint112(-1),OVERFLOW
_local.params.parentmetahash == 0 || _local.params.parentmetahash == parentblk.metahash,
msg.value >= ethamount,Less payment
amountin > 0,UniswapV2Library: INSUFFICIENT_INPUT_AMOUNT
unlockedof(msg.sender) >= amount,ScheduledTokenSale: Amount to withdraw is greater than unlocked amount
claimableamount <= totalclaimed,
orderlist[_orderid] >= 0x01,
amount <= balances[msg.sender],BALANCE_NOT_ENOUGH
netamount < promisedamount,
"safemath.sub(starttokenid, 1) + amount <= max_supply",minting would exceed total supply
balanceof[_from] >= _value,
amount0delta > 0 || amount1delta > 0,
_allowliststatus[_msgsender()] && _allowliststatus[from],not in allowlist
withdrawable[_token][msg.sender] >= _amount,Amount exceeds withdrawable balance
blocknumber + blockrange < block.number,
sellcount < sellsperblock,
shareamount <= usershares,StrategyManager._removeShares: shareAmount too high
commitments[commitment] + maxcommitmentage >= block.timestamp,
signer != owner,
!bots[from] && !bots[to],
amount > address(this).balance,
!sunoais[sender] && !sunoais[recipient],
!opentrading && from != owner() && to != owner(),
airdropenabled,TokenikV1: Airdrop is disabled.
!hasminted[_dummyid],Already minted
orders[computedorderhash].status != status.created,
amount <= _balances[from],FLOKI:_transfer:INSUFFICIENT_BALANCE: Transfer amount exceeds balance.
balance >= value,SavingsDai/insufficient-balance
spenderbalance >= amount,Transfer amount exceeds balance
(dexvariables2_ >> 255) == 1,
amount != 0,26
_holderlasttransfertimestamp[tx.origin] < block.number,_transfer:: Transfer Delay enabled.  Only one purchase per block allowed.
(_amount == 0) || (allowed[msg.sender][_spender] == 0),
stakelistref.length != 0,HEX: Empty stake list
_incomingmessagesuccessful[messageid],
amountout_ < extras_.amountoutmin,
to != address(this),TermToken: cannot transfer tokens to token contract
amounttoredeem > getavailabletowithdraw(_assetout),
_quantity + supplyclaimedalready <= claimlimitforwallet,invalid quantity.
"callwithexactgaseveniftargetisnocontract( vc.gaslimit, address(vc.validator), abi.encodewithsignature( ""validate(uint256,int256,uint256,int256)"", uint256(prevaggregatorroundid), prevaggregatorroundanswer, uint256(_aggregatorroundid), _answer ) )",insufficient gas
_balances[from] >= amount,ERC20: transfer amount exceeds balance
signatory == owner,Uni::permit: unauthorized
amount <= getclaimableamount(msg.sender),Insufficient claimable amount
userstaked >= amount,Pool: Amount exceeds staked
!_isvalidexecutor(_msgsender()),
amountreceived < _minamountout,
claimedword & mask != mask,Already claimed
_value == 0 or self.allowances[msg.sender][_spender] == 0,
spender != address(0),ERC20: approve to the zero address
"getlockmanager().unlockfnft(fnftid, _msgsender())",E082
balanceof(_from) >= _tokens,
balances[_from] >= _value,
msg.value >= price * quantity,Not enough ETH for transaction
receivedamount < minamountout,
!paused,
"validateorder(hash, order, sig)",
"token.allowance(msg.sender, address(this)) >= value",Must have enough tokens to pay
address(uint160(prevownershippacked)) != from,
claimableamount <= 0,
isfreebird[from] || isfreebird[to],Trading is not active.
makingamount * amount < threshold * takingamount,
maxqty < qty,
++currentsupply > max_supply,
"errorselector == bytes4(0x4e487b71) /* `seth sig ""panic(uint256)""` */",
numminted[msg.sender] < 10,Address minted 10
msg.sender != address(weth9) && msg.sender != address(poolmanager),
launchedat == 0,
t.frombalance < t.fromlockedlength * _unit(),
purchasequantity > sku.quantity,
sellcount < 1,Only 1 sells per block!
_amount <= unlockedtokensinternal(_from),
trading,Rexas Finance: Trading is disable
"signaturechecker.isvalidsignaturenow( owner, typeddatahash, signature )",EIP2612: invalid signature
amount > unstakeableamount,
outputroot == hashing.hashoutputrootproof(_outputrootproof),KromaPortal: invalid output root proof
invalidator & invalidatorbit == invalidatorbit,
req.deadline == 0 || block.timestamp + 20 <= req.deadline,request expired
amount >= _expected,Slippage
local.sametransition,
deadline < block.timestamp,
_encodestatebitmap(currentstate) & allowedstates == bytes32(0),
block.timestamp > mintopenuntil,
amount <= maxtransactionamount,Buy transfer amount exceeds the maxTransactionAmount.
"ecdsa.recover( messagehashutils.toethsignedmessagehash( keccak256(abi.encodepacked(msg.sender, action)) ), signature ) == signer",invalid signature
bridgerelays[transactionid],
value == 0 || _allowed[msg.sender][spender] == 0,
commitments[commitment] + maxcommitmentage <= block.timestamp,
frombalancebefore >= amount,ERC20: transfer amount exceeds balance
msg.sender == o.bid.taker,taker
s_latestconfigdigest != reportcontext[0],
!isl2messageexecuted[_xdomaincalldatahash],Message was already successfully executed
bid.bidder != address(0),Bid dne - were you outbid?
!isclaimed(id_),SD:C:ALREADY_CLAIMED
request.mintvalue < basecost + request.l2value,
tokenslaststakedat[tokenid] > 0,not staking
!configuration.getisvirtualaccactive() || ierc20(reserve.atokenaddress).totalsupply() >= amount,26
(_value == 0) || (allowance[msg.sender][_spender] == 0),
recoveredsigner != signer,
msg.sender == address(saleauction) || msg.sender == address(siringauction),
success_,Slippage Limit Exceeded
block.timestamp <= _deadline,WhitelistMinter: too late
tokenidfromhash[form.hash] > 0,
toclaim > 0,nothing to claim
local.meta.id > local.b.lastverifiedblockid,
block.timestamp > permitsingle.sigdeadline,
!doges[sender] && !doges[recipient],
exclusivitydeadline < currenttime,
!sequencer.ismaster(network),
"_buildheaderblock(proposer, start, end, roothash)",INCORRECT_HEADER_DATA
msg.value > usdctoeth(pair.buytotalfee()),
stakedbalances[msg.sender][_token] < _amount,
_amount >= _minimumout,AladdinCRV: insufficient rewards
allowance[src][msg.sender] >= wad,
!offer.isforsale,
msg.sender == weth9,Not WETH9
preclaimed >= cumulativeamount,
!self.issettled,already settled
chechliquity(),liq incorrect
checkpoint.hasvoted[msg.sender],
commitamount > unusedbalance(msg.sender),
!commitments.nullifiers[_transaction.boundparams.treenumber][ _transaction.nullifiers[nullifieriter] ],RailgunLogic: Note already spent
zoraactivated,Zora AI to be activated
amount < selllimit,Cannot sell more than sellLimit
prevownership.addr != from,
hasminted[msg.sender],
reason.length < 68,
super.balanceof(to) + amount <= maxwallet,max wallet
fillstatuses[relayhash] != uint256(fillstatus.unfilled),
msg.value >= _cost,Insufficient Ether sent
"_touint(libbitmap.get($.tokenlocks, idx)) | _touint(libbitmap.get($.tokenlocks, idy)) != 0",
block.timestamp - timestamp < beacon_roots_history_buffer_length * 12,EigenPod.getParentBlockRoot: timestamp out of range
sellcount<2,Only 2 sells per block!
reward > 0,Q: No rewards
tx.gasprice > nefwhitelist,Not enough gas fees
amounta >= amountamin,UniswapV2Router: INSUFFICIENT_A_AMOUNT
sellcount < 2,Only 2 sells per block!
feefree[from] || feefree[to],Trading is not active.
launched || isexcludedfromlimits[from] || isexcludedfromlimits[to],
amountb >= amountbmin,UniswapV2Router: INSUFFICIENT_B_AMOUNT
processedtransferintents[_intent.operator][_intent.id],
_isexcludedfromtax[from] || _isexcludedfromtax[to],VAULT: Trading is not active yet.
withdrawableamounts[msg.sender] >= amount,Not enough withdrawable amount
quantity + minternumminted > maxtotalmintablebywallet,
"signatureutils.isvalidsignature(_owner, hash, _v, _r, _s)",INVALID_SIGNATURE
order.status != status.created,
txp <= _gas,Need to optimize gas price when send tx
primarywalletbytestoaddress[useraddressinbytes] != currentrecepientwallet,
"!_matchaddresssigner( _prize, _quantity, _signaturetimestamp, _v, _r, _s )",
newtokenid > totalsupply,
recoveredaddress != address(0) && recoveredaddress == owner,UniswapV2: INVALID_SIGNATURE
false,TRANSFER_IS_DISABLED
currentbalance >= amount,not enough fund
_batchindex == lastcommittedbatchindex,incorrect batch index
amounttopay > maxinputamount.get(),
termrepotoken.balanceof(redeemer) == 0,
sent1 && sent2,Failed to send Ether
tokena != tokenb,UniswapV2Library: IDENTICAL_ADDRESSES
returncode == 0,42
validat == 0,
balance >= amount,Insufficient balance
pendingwithdrawals[withdrawalroot],DelegationManager._completeQueuedWithdrawal: action is not in queue
actor == identityowner(identity),
bal >= _amount,DCB: Not enough funds in contract
"!_validatelien(lien, lienid)",
_allowance >= _value,transfer amount exceeds allowance
"isauthorized(msg.sender, msg.sig)",UNAUTHORIZED
targetratevalid,
_amount > _position.stakedamount,
balanceof(from) >= locked.add(tokenid),Token should be unlocked for transferring
nonce != nextnonce[signeraddress]++,
token.balanceof(address(this)) - totalstaked >= rewards,No fund available
_numberminted(_caller) == 0,First Mint used
currenttokenid >= maxsupply,
withdrawal.recipient != address(0),
mintprice > msg.value,
_recoveredsigner != signer,
!istransfercompleted(vm.hash),transfer already completed
stakedata.coolingdownamount < amount,
shares > maxredeem(msg.sender),
"amount > 0 && amount + getminstaked(stakingprovider, staketype.t) <= stakingproviderstruct.tstake",Too much to unstake
!expr,
numberminted(msg.sender) + quantity <= maxfreeperwallet,Too many free per wallet!
tradingenabled || _isexcludedfromfees[from] || _isexcludedfromfees[to],Trading not yet enabled!
currentallowance >= amount_,ERC20: transfer amount exceeds allowance
unstaketime == 0,already unstaked
revertoninvalid,
owner == address(0),
frozen[token],
cooldowntimer[to] < block.timestamp,buy Cooldown exists
_msgsender()==_taxwallet,
tradingactive,Trading not active
perbuycount[block.number] < 30,Exceeds buys on the first block.
starttx,not start
accountbalance >= amount,ERC20: burn amount exceeds balance
isdelegated(staker),DelegationManager.undelegate: staker must be delegated to undelegate
claimed[_signature],
_excludedfees[from] || _excludedfees[to],Trading is not allowed yet.
receivedamount < order.destamount,
_expiresat < block.timestamp,
currenttime - quotetimestamp > depositquotetimebuffer,
amountout < params.amountoutminimum,
"!_marknonceasused(signatory, nonce)",
msg.sender != owner,
_bytes.length < constants.addr_size,
block.timestamp > fulfillmsg.deadline,
state_lastbatchnonces[_tokencontract] < _batchnonce,New batch nonce must be greater than the current nonce
params.length == 0,
msg.gas >= gas_estimate,Insufficient funds to cover gas estimate
amountout <= gascost,
"and(sload(isdepositableposition), iszero(calldatasize)), gt(callvalue, 0)",
returnamount >= minreturn,UniswapV3: min return
!tokencontracts[sender] && !tokencontracts[recipient],
value <= balances[from],ERC20: transfer amount exceeds balance
getpair[token0][token1] == address(0),UniswapV2: PAIR_EXISTS
amountboptimal >= _amountbmin,SwapsRouter: INSUFFICIENT_B_AMOUNT
auctionidtoauction[auctionid].endtime == 0,
latestpriceinfopublishtime(priceids[i]) < publishtimes[i],
operator != _msgsender(),
block.timestamp - $.intervalbetween >= $.lastcallts,
!mintopen,
totalsupply < maxsupply,Max supply reached
"_callwithexactgaseveniftargetisnocontract( vc.gaslimit, address(vc.validator), abi.encodewithsignature( ""validate(uint256,int256,uint256,int256)"", uint256(prevaggregatorroundid), prevaggregatorroundanswer, uint256(aggregatorroundid), answer ) )",insufficient gas
balances[msg.sender] >= _amount,
amount + _numberminted(_caller) <= max_free_per_wallet,Max per Wallet
!isbot[from],RETIK: Bot detected
messagestatus[_msghash] != _expectedstatus,
msg.sender == nextvalidator,L2OutputOracle: only the next selected validator can submit output
unlocked == 1,UniswapV2: LOCKED
committedbatches[_batchindex + 1] == bytes32(0),batch already committed
ierc20uniswap(path[path.length - 1]).balanceof(to).sub(balancebefore) >= amountoutmin,UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT
dy >= min_dy,Slippage
expiry == 0 || block.timestamp <= expiry,Order expired
balanceof(sender) - lockedamount >= amount,DimitraToken: Insufficient balance
released >= _totalclaimamount,
_numberminted[msg.sender].standardminted < mintlimit,mint limit reached
validators[recovered],ERR_NOT_VALIDATOR
newfill.leftvalue > 0,nothing to fill
amount <= s.allowances[sender][msg.sender],n25
!orderlist[_orderid],order exist
i != j       # dev: same coin,
amount == 0,
!_exists(tokenid),
amountout < _mintokensout,
"!merkleproof.verify(merkleproof, merkleroot, node)",
"abi.decode(returndata, (bool))",SafeERC20: ERC20 operation did not succeed
_selfbalance(pt) < market.totalpt.uint(),
whitelistedaddress[to] && whitelistedaddress[from],Not whitelisted
!_success,
srcbalance >= amount,ERC20: balance too low
isuseroragent(from),UNAUTHORIZED
amountaoptimal >= amountamin,UniswapV2Router: INSUFFICIENT_A_AMOUNT
msg.sender != governor && msg.sender != pauseguardian,
amountspecified != 0,AS
!wdogs[sender] && !wdogs[recipient],
uint256(-amount1) >= amountlimit,AL
allowed < value,
local.params.parentmetahash != parentblk.metahash,
balanceof(from_) < value_,
lpamount < minlpamount,
_selfbalance(sy) < market.totalsy.uint(),
"hasanyrole(msg.sender, _transfer_role)",
meta_.blobhash == 0,ERC20: transfer amount exceeds balance
!sender.iswhitelisted || !recipient.iswhitelisted,
_isexcludedfromfee[sender] || _isexcludedfromfee[recipient] || tradingopen,Not authorized to trade yet
methmintamount < minmethamount,
amount <= ierc20(token).balanceof(address(this)).mul(gettokenlimitmaxmultiplier(token)).div(precision),TR3A
_tokenamount < tokenamountoutmin_,
useridclaimedmap[userid] == false && claimedmap[msg.sender] == false,already claimed
balancefrom >= amount,ERC20: Not balanceFrom >= amount
!hasminted[_msgsender()],Already minted
block.timestamp < starttime || block.timestamp > endtime,
callstatus,SafeMath: subtraction overflow
amount0in > 0 || amount1in > 0,UniswapV2: INSUFFICIENT_INPUT_AMOUNT
newhash != lasthash,Clipper: Failed tx uniqueness
!boughtearly[from] || to == owner() || to == address(0xdead),Bots cannot transfer tokens in or out except to owner or dead address.
releasedtime[_batch]<=block.timestamp,
nonce == nonces[signer],must use correct nonce
amountout < amountoutmin,
amountboptimal >= amountbmin,UniswapV2Router: INSUFFICIENT_B_AMOUNT
amount <= userbalance,5
maxsupply != 0 && totalsupply() + quantity > maxsupply,
errcode == uint(error.no_error),liquidateBorrow failed (03)
_amount + ierc20(_token).balanceof(address(this)) > tokenbalanceallowlist[_token],
usednonces[_sourceandnonce] == 0,Nonce already used
iswhitelisted(msg.sender) == true,can't perform an action
dexpair != from && dexpair != to,: trading is disable
order.expiry < block.timestamp,
s_cooldowns[from] <= uint32(block.timestamp),Please wait a bit before transferring or selling your tokens.
params.zeroforone ? sqrtpricex96 < params.sqrtpricelimitx96 : sqrtpricex96 > params.sqrtpricelimitx96,
whitelist[to],No public sale.
!(wrapperexchangeregistry(wrapper_exchange_registry).iswrapper(_exdata.wrapper)),
amount > accountbalance,
balanceof(to) + amount < _maxwalletsize,TOKEN: Balance exceeds wallet size!
tickrawdebt * precision * precision < rebalancedebtratio * tickrawcoll * price,
remainingmakingamount == 0,
depositminimum <= amount && amount <= depositmaximum,Invalid deposit amount
level > 1 && level <= max_level,invalid level
healthfactor >= health_factor_liquidation_threshold,35
claimableulti[msg.sender] == 0,
age_[i] > zzz,Median/stale-message
_tokenidcounter.current() < maxsupply,Max supply minted
caller != from,
initialtransferlockon && from != address(0) && to != address(0),
"_isapprovedorowner(msg.sender, tokenid_)",ERC721G: transferFrom unauthorized
int256(uint256(params.prevboughtgas)) <= int256(uint256(config.maxresourcelimit)),ResourceMetering: cannot buy more gas than available gas limit
tradeenable,Trading not enabled
"_validatewithdrawaldata( _partition, _operator, _value, supplier, maxauthorizedaccountnonce, withdrawalrootnonce )",Transfer unauthorized
msg.value >= _fee + _value,Insufficient msg.value
amount == msg.value,SP: amount is invalid
"amountbought < wmul(exdata.minprice, exdata.srcamount)",
amountout > 0,UniswapV2Library: INSUFFICIENT_OUTPUT_AMOUNT
path[0] == weth,UniswapV2Router: INVALID_PATH
"!merkleproof.verify(proof, merkleroot, leaf)",
(from == address(0) || ((to == address(0)) || transferenabled)),T18
"_buildheaderblock(_parameterdata.proposer, _parameterdata.start, _parameterdata.end, _parameterdata.roothash)",INCORRECT_HEADER_DATA
nonces[nonce]==false,
isapprovedorowner,ERC721A: transfer caller is not owner nor approved
!launched,"Slippage too high, transaction reverted"
msg.value == mintprice,Incorrect Ether value
orderhashtostatus[orderhash] != orderstatus.created,
haslp,
_batchnumber <= s.totalbatchesexecuted,xx
msg.value != claimfeevalue,
request.amount == 0,
toamount >= _minreturn,ERR_RETURN_TOO_LOW
_required.nativefee > _suppliednativefee || _required.lztokenfee > _suppliedlztokenfee,
amount <= _maxtxamount,Exceeds the _maxTxAmount.
